,posts,sentiment
0,There is no new cluster beside the dorm for two days..,-0.06818181818181818
1,">For consistency and accuracy, it could be easier to use data from the new MOH Situation Report which separates into Dorm, non-Dorm foreigners and Citizen/PR.

I think they only count those from the named dorm clusters into ""Dorm"". So those who are either linked to construction sites or who live in non-cluster dorms get categorized as ""Linked to Other Clusters"" or ""Pending Investigations"" respectively.

So the MOH situation report for 28-3 to 10-4 LTP holders has 545 linked to dorm clusters, 126 linked to other clusters, and 141 pending investigations. Whereas my estimate for the same time period is 702 dorm/construction-related.

The reason I make these graphs is that there are really 2 separate COVID problems in Singapore. Circuit Breaker can slow down the growth of the cases in the general public. But other than stopping work at construction sites, Circuit Breaker doesn't help the dorm/construction site problem. The dorm/construction site problem has to be tackled by improving the living conditions of these workers, testing them, separating the sick from the well. And conversely, issues of way too many people ""exercising"", eating at hawker centres, sneakily meeting up etc only affect the non-dorm problem. 

And yes, the testing situation is worrisome. I do not know how they are prioritizing the tests. And it would be political suicide for MOH to admit that they are either prioritizing SC/PR cases first (patriotism) or the dorm workers (because it is more urgent to separate the sick in cramped conditions).",-0.024319985569985575
2,"Only IQ lower than 86 will believe this CSB.When maids are pregnant, nothing to do with their FWs sex friends.Their catholic so they believe in the immaculate inception like Mary ",0.1111111111111111
3,"I work nearby to the Westlite and Toh Guan Dorms. 

After the initial reports of Westlite having covid cases, I saw they were still open and operating as usual, even all the food stalls and the provision shop there. I was rather surprised they didn't try to isolate the situation earlier. 

I understand that maybe they couldn't just put everyone there under SHN immediately because of the financial implications, but I did wonder why they still allowed the workers to still congregate at the eating place and they also allowed the provision shop stay open. I didn't see any sanitizing stuff going on myself, but to be fair I have been telecommuting for most of the week so they may have done it without me seeing it.

Now after there are so many more cases, they decided to 'lock down' the place. And it also spread to Toh Guan Dormitory which is across the road and a couple units down.

I'm quite frustrated that something wasn't done earlier.",0.06925925925925923
4,Ho seh liao,0.0
5,I’m not saying we caused this spread among the dorms. I agree that it was an oversight on gov’s part,0.0
6,1. From healthy no wear mask to Mask mandatory.2. How many of the 98 LTVP are from 699 India?the strategy will change according to the stage of the pandemic.it is basic principle that the country must not expend all the equipment in the early stages. when the virus characteristic is still unknown.do expect the strategy to continue changing. that is what any correct response should be like.,0.2066666666666667
7,Exactly. People don’t even wanna let our public servants rest!,0.125
8,The current situation is beyond this woman. 24hrs in a day is not enough for her.Ya she seem like age alot within these few month,-0.06666666666666667
9,"Iran, followed by China, India, Israel, Saudi Arabia, Japan and Singapore.-in-asia/Can also add Turkey which is half EU and Asia.We will over run Japan by tomorrow.With Japan defeated, we must re-og and open the flood gate for another 300k jhk to reinforced and replenish our stockpile for the ultimate big push to topple China to be the Asia COVID-19 champion.Glory to SG, make SG great again, another major milestone to be number one in Asia.",0.11597222222222224
10,"coz they still get salaries for staying in bunk, no wonder they not taking the measures seriously",-0.3333333333333333
11,Becoming bangala na0!!Sent from Xiaomi MI 9T using GAGT,0.45
12,"I feel that your views are quite myopic.

Have you seen how migrant workers are housed and transported? They're treated like  woodpile. Can you imagine the safety and hygiene standards in these dormitories? What about the trucks on which scores of workers are transported without seat belts and harnesses? It's obvious that the lives of these workers *matter less* than your average Singaporean person.

The western media looks at the Middle-east and Singapore with entirely different lenses (for pretty obvious reasons); that is precisely why we've been able to avoid the public eye. The sign of any developed economy is one where *unskilled* labourers (your welders, fitters and electricians) earn a good healthy income. For instance, a lolly-pop man in Australia can earn upto a 120k AUD (factor in a 30-40% tax on that; that's still a take home of about 70-80k); this is why these roles are taken up by Australians (and not folks from South Asia or China). On the flip side, your educated class wouldn't be earning wages that are too dissimilar either. In other words, the income gap is quite narrow and regulated. This is a tell-tale sign of a good, healthy, developed economy; and it's a far cry from what we see here in Singapore.",0.16885964912280702
13,Probably once in a lifetime for them.No need jelly.,0.0
