,posts,vader_sentiment
0,no new cluster beside two days,-0.296
1,consistency accuracy could easier use data new moh situation report separates non foreigners citizen pr think count named clusters either linked construction sites live non cluster get categorized linked clusters pending investigations respectively moh situation report 28 3 10 4 ltp holders 545 linked clusters 126 linked clusters 141 pending investigations whereas estimate time period 702 construction related reason make graphs really 2 separate problems singapore circuit breaker slow growth general public stopping work construction sites circuit breaker doesn help construction site problem construction site problem tackled improving living conditions testing separating sick well conversely issues way many people exercising eating hawker centres sneakily meeting etc affect non problem yes testing situation worrisome not know prioritizing tests would political suicide moh admit either prioritizing sc pr first patriotism urgent separate sick cramped conditions,-0.7769
2,iq lower 86 believe csb maids pregnant nothing fws sex friends catholic believe immaculate inception like mary,-0.5932
3,work nearby westlite toh guan initial reports westlite saw still open operating usual even food stalls provision shop rather surprised didn try isolate situation earlier understand maybe couldn put everyone shn immediately financial implications wonder still allowed still congregate eating place also allowed provision shop stay open didn see sanitizing stuff going fair telecommuting week may done without seeing many decided lock place also spread toh guan across road couple units quite frustrated something wasn done earlier,-0.3167
4,ho seh,0.0
5,not saying caused spread among agree oversight gov part,0.3612
6,1 healthy no wear mask mask mandatory 2 many 98 ltvp 699 india strategy change according stage pandemic basic principle country must not expend equipment early stages characteristic still unknown expect strategy continue changing correct response should like,0.5106
7,exactly people even wanna let public servants rest,0.0
8,current situation beyond woman 24hrs day not enough ya seem like age alot within month,0.3612
9,iran followed china india israel saudi arabia japan singapore asia also add turkey half eu asia run japan tomorrow japan defeated must og open flood gate another 300k jhk reinforced replenish stockpile ultimate big push topple china asia champion glory sg make sg great another major milestone number one asia,0.8658
10,coz still get salaries staying bunk no wonder not taking measures seriously,-0.1734
11,becoming bangala na0 sent mi 9t using,0.0
12,feel views quite myopic seen housed transported treated like woodpile imagine safety hygiene standards trucks scores transported without seat belts harnesses obvious lives matter less average singaporean person western media looks middle east singapore entirely different lenses pretty obvious reasons precisely able avoid public eye sign developed economy one unskilled labourers welders fitters electricians earn good healthy income instance lolly pop man australia earn upto 120k aud factor 30 40 tax still take home 70 80k roles taken australians not folks south asia china flip side educated class wouldn earning wages dissimilar either words income gap quite narrow regulated tell tale sign good healthy developed economy far cry see singapore,0.9295
13,probably lifetime no need jelly,-0.296
14,wong said unpredictable situation w n press conference apr 9 minister national development lawrence wong said known would later explode big clusters would done things differently unfortunately not luxury benefit hindsight press conference apr 9 minister national development lawrence wong said known would later explode big clusters would done things differently wong responding question asking anything could done avoid quarantine thousands becoming large clusters moving quickly known would done things differently no one tell next step wong said unpredictable situation spreads quickly pointed previously however never exploded big clusters time happened said wong also explained single lapse individual continues go work interact others easily end spreading many others emphasised need proper system screen separate sick healthy contain spread across wong said put resources muster,-0.7565
15,exactly sure majority infections isolation areas community spread low look numbers would not surprised reach 10k within week course hope not no extension fear gahmen gonna make mistake time healthcare system gonna suffer,-0.4067
16,sail back home haha,0.4588
17,deport ftrash fws frens built nation dun associate ftrash,0.0
18,many homeless ppl sg living worse no one anythingexactly many homeless sinkie,-0.6486
19,stand far mask dun think hear sham saying,0.0
20,u work civil public service u know top mgmt not decisive one implement changes day day simply reactive u know expect governing body,0.0346
21,broke numbers theory thread,-0.4215
22,pls dont lazy reading upit already proven elderly vulnerable susceptible due existing health conditions ft generally young fit physicallylook profile dead health uk lots younger people,-0.316
23,tomorrow sti still green little red consperm manipulated,-0.3262
24,wait consumers change things not like choice buying not buying housing alternative homelessness homes singapore essentially built really case no way improve living condition increasing housing prices tax funded subsidies government should explain clearly much increased regulation likely cost impose regulation anyway lot things increase businesses costs including levy still benefits worth one richest countries world afford let live humane conditions without bankrupting country time evidence show operators making huge profits case profits should go towards improving living conditions shouldn allowed profit exploiting,0.9639
25,u imagine contract tracing police teams today got 120 new trace previous days might not even cracked yet keeps eventually cannot contact tracing alr,0.0
26,unique person swabbed following dates 07 april 47 48614 april 59 73720 april 82 64427 april 99 929so around 2 4k person tested day since 20 27 april like 158th report using total number tests not unique person tested majority sinkies thought testing 8k people day actual reality way lower,0.1531
27,design built according specifications time inspected approved bca top jo jo claimed not requirements blaming bca bca law wong see thread give damn safe social distancing either compact l distancingcorrect bca charge mnd ahwong minister charge,0.7527
28,66 new unlinked really play circuit breaker,0.4005
29,relax normal flu,0.0772
30,many incubated case come record one one gg,0.296
31,waiting 4 digit buy 4dbut sg pools closed,0.0
32,exactly told mum say bs dun anyhow say not elderies know growing group people staying social media cos understandably mentally exhausting go news day day somehow wished away half baked measures,-0.4621
33,major fark,0.0
34,finally got new cluster today garmen should come n say won exit cb long fws 100 recovered coz sinkies working getting infected,0.128
35,lawrence wong must thinking knn gan boh yong paid still lazy still ask clear shite front journalists monkey psychic ability mess fark hardwarezone forums appthis kind colleagues u normally find toxic working environment sinkie got credit first come claim effort got problem come 1st one point fingers,0.4939
36,anyone heard pinky speech hypocrisy years exploitation got exposed start appreciate locked last week condemn death got petition suddenly pretend help exploit free market yo not happy wages living conditions always fark back,-0.4401
37,uselessness caused everyone much worksent pofma truth oh point question using,-0.0772
38,singapore cluster sent baba yaga pigu dong using,0.0
39,no hoper asia suddenly qualify asian wuhan cupdishonourable son sia suay arsehole singapore hardwarezone forums appwe podium position 3rd asia cup thank pap,0.0772
40,song bo,0.0
